id,Airline,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
12,AA,Female,disloyal Customer,27,Business travel,Business,421,1,2,2,4,1,2,2,1,2,5,4,1,3,1,20,21,neutral or dissatisfied
31,AS,Male,disloyal Customer,35,Business travel,Business,212,2,2,2,1,2,2,2,2,4,5,5,5,4,2,0,0,neutral or dissatisfied
32,B6,Male,disloyal Customer,21,Business travel,Eco,173,4,0,4,4,3,4,3,3,5,5,4,3,4,3,0,0,satisfied
33,DL,Female,disloyal Customer,33,Business travel,Business,173,2,2,2,5,2,2,2,2,3,3,5,5,5,2,22,28,neutral or dissatisfied
34,EV,Female,Loyal Customer,48,Business travel,Business,173,0,5,0,4,3,5,4,5,5,5,5,5,5,4,0,0,satisfied
37,F9,Female,Loyal Customer,54,Business travel,Business,212,4,4,4,4,5,5,4,4,4,4,5,5,4,4,12,26,satisfied
38,HA,Female,Loyal Customer,51,Business travel,Business,215,4,4,4,4,3,4,5,5,5,4,5,4,5,3,0,0,satisfied
39,MQ,Female,Loyal Customer,46,Business travel,Business,67,3,3,3,3,4,5,4,4,4,4,4,5,4,5,0,0,satisfied
40,NK,Male,Loyal Customer,51,Business travel,Business,212,2,2,2,2,2,4,4,5,5,4,4,3,5,5,0,0,satisfied
42,OO,Female,Loyal Customer,45,Business travel,Business,108,4,4,4,4,3,5,4,4,4,4,5,5,4,3,0,0,satisfied
45,AA,Male,Loyal Customer,56,Business travel,Business,173,0,5,0,3,2,5,4,4,4,3,3,4,4,5,30,14,satisfied
46,AS,Female,disloyal Customer,23,Business travel,Eco,173,3,0,3,1,4,3,4,4,3,2,5,3,4,4,16,13,neutral or dissatisfied
47,B6,Male,disloyal Customer,24,Business travel,Business,108,0,4,0,4,4,4,2,4,4,2,5,5,5,4,0,0,satisfied
48,DL,Female,disloyal Customer,40,Business travel,Business,212,3,3,3,3,5,3,4,5,1,2,3,2,2,5,29,41,neutral or dissatisfied
50,EV,Male,disloyal Customer,27,Business travel,Business,108,4,4,4,4,5,4,5,5,3,4,4,5,5,5,0,0,satisfied
52,F9,Female,disloyal Customer,20,Business travel,Eco,67,4,0,4,1,5,4,5,5,4,5,5,3,4,5,2,10,neutral or dissatisfied
57,HA,Female,Loyal Customer,56,Business travel,Business,67,1,1,1,1,2,4,4,5,5,5,4,3,5,4,0,0,satisfied
62,MQ,Male,Loyal Customer,31,Business travel,Eco,173,2,5,5,5,2,2,2,1,4,3,4,2,3,2,151,186,neutral or dissatisfied
64,NK,Male,Loyal Customer,56,Business travel,Business,173,1,1,1,1,5,5,4,3,3,4,5,5,3,5,0,3,satisfied
65,OO,Male,disloyal Customer,24,Business travel,Eco,108,0,0,0,1,5,0,5,5,5,5,4,3,5,5,0,0,satisfied
66,AA,Male,Loyal Customer,36,Business travel,Business,173,1,5,5,5,4,3,3,3,3,3,1,2,3,3,12,8,neutral or dissatisfied
67,AS,Male,Loyal Customer,50,Business travel,Business,67,4,4,4,4,2,4,5,5,5,5,5,4,5,5,0,0,satisfied
68,B6,Male,Loyal Customer,43,Business travel,Business,173,4,5,5,5,4,3,3,2,2,2,4,2,2,4,0,0,neutral or dissatisfied
71,DL,Female,disloyal Customer,47,Business travel,Eco,173,1,4,1,1,3,1,3,3,5,5,1,4,4,3,0,14,neutral or dissatisfied
